sample	reads_mapped	bases_mapped
Control1	364	22500
Control2	514	56071
fox10_D_37	11104560	1600258040
fox10_F_39	31923396	4589491031
fox10_K_38	376322	54358410
fox10_M_40	2416586	351546150
fox14_D_1	3238382	464669872
fox14_F_3	22393284	3151144667
fox14_K_2	234254	33822045
fox14_M_4	290120	41541436
fox16_D_33	779170	108967993
fox16_F_35	24262790	3530311670
fox16_K_34	239456	34676784
fox16_M_36	424800	61780044
fox1_D_17	4606868	657339279
fox1_K_18	697082	101937773
fox1_M_20	157086	22499513
fox22_D_29	48614090	7039383283
fox22_F_31	40695050	5809442491
fox22_K_30	411058	59508067
fox22_M_32	3904146	555931350
fox24_D_5	3257790	469506483
fox24_F_7	4306300	626915478
fox24_K_6	425866	62049310
fox24_M_8	537202	78321465
fox26_D_41	1032804	132445873
fox26_F_43	19105064	2655955963
fox26_K_42	422470	61054940
fox26_M_44	2905702	414850824
fox29_D_9	2443370	346773818
fox29_F_11	6258982	883474846
fox29_K_10	261780	37934821
fox29_M_12	316678	45899989
fox30_D_13	2512090	346508881
fox30_F_15	22204912	3214723732
fox30_K_14	402446	58188659
fox30_M_16	2987396	430903849
fox3_D_25	2644654	363373915
fox3_F_27	19162920	2669287406
fox3_M_28	545454	78718212
fox5_D_10	10461792	1506788382
fox5_F_12	25104768	3577973570
fox5_K_11	135278	19140536
fox5_M_9	197174	28092408
fox8_D_21	35041970	5034429551
fox8_F_23	28392862	4003071446
fox8_K_22	550234	79377659
fox8_M_24	2209078	321991533
