Sample ID,Location in gut,Fox behaviour,Fox sex,Sample type,Year
fox5_K_11,K_ileum,tame,male,Gut tissue,2018
fox5_D_10,D_ileum,tame,male,Gut content,2018
fox5_F_12,F_colon,tame,male,Gut content,2018
fox5_M_9,M_colon,tame,male,Gut tissue,2018
fox14_D_1,D_ileum,tame,male,Gut content,2018
fox14_K_2,K_ileum,tame,male,Gut tissue,2018
fox14_F_3,F_colon,tame,male,Gut content,2018
fox14_M_4,M_colon,tame,male,Gut tissue,2018
fox24_D_5,D_ileum,tame,male,Gut content,2018
fox24_K_6,K_ileum,tame,male,Gut tissue,2018
fox24_F_7,F_colon,tame,male,Gut content,2018
fox24_M_8,M_colon,tame,male,Gut tissue,2018
fox29_D_9,D_ileum,tame,male,Gut content,2018
fox29_K_10,K_ileum,tame,male,Gut tissue,2018
fox29_F_11,F_colon,tame,male,Gut content,2018
fox29_M_12,M_colon,tame,male,Gut tissue,2018
fox30_D_13,D_ileum,tame,male,Gut content,2018
fox30_K_14,K_ileum,tame,male,Gut tissue,2018
fox30_F_15,F_colon,tame,male,Gut content,2018
fox30_M_16,M_colon,tame,male,Gut tissue,2018
fox1_D_17,D_ileum,aggr,male,Gut content,2018
fox1_K_18,K_ileum,aggr,male,Gut tissue,2018
fox1_F_19,F_colon,aggr,male,Gut content,2018
fox1_M_20,M_colon,aggr,male,Gut tissue,2018
fox8_D_21,D_ileum,aggr,male,Gut content,2018
fox8_K_22,K_ileum,aggr,male,Gut tissue,2018
fox8_F_23,F_colon,aggr,male,Gut content,2018
fox8_M_24,M_colon,aggr,male,Gut tissue,2018
fox3_D_25,D_ileum,aggr,male,Gut content,2018
fox3_K_26,K_ileum,aggr,male,Gut tissue,2018
fox3_F_27,F_colon,aggr,male,Gut content,2018
fox3_M_28,M_colon,aggr,male,Gut tissue,2018
fox22_D_29,D_ileum,aggr,male,Gut content,2018
fox22_K_30,K_ileum,aggr,male,Gut tissue,2018
fox22_F_31,F_colon,aggr,male,Gut content,2018
fox22_M_32,M_colon,aggr,male,Gut tissue,2018
fox16_D_33,D_ileum,aggr,male,Gut content,2018
fox16_K_34,K_ileum,aggr,male,Gut tissue,2018
fox16_F_35,F_colon,aggr,male,Gut content,2018
fox16_M_36,M_colon,aggr,male,Gut tissue,2018
fox10_D_37,D_ileum,unsel,male,Gut content,2018
fox10_K_38,K_ileum,unsel,male,Gut tissue,2018
fox10_F_39,F_colon,unsel,male,Gut content,2018
fox10_M_40,M_colon,unsel,male,Gut tissue,2018
fox26_D_41,D_ileum,unsel,male,Gut content,2018
fox26_K_42,K_ileum,unsel,male,Gut tissue,2018
fox26_F_43,F_colon,unsel,male,Gut content,2018
fox26_M_44,M_colon,unsel,male,Gut tissue,2018
